City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
102,port alfred,-33.5906,26.891,15.29000000000002,59,98,4.54,ZA,1684773933
103,utrik,11.2278,169.8474,27.82000000000005,80,99,5.87,MH,1684773901
104,sferracavallo,42.726,12.0956,23.200000000000045,81,81,0.89,IT,1684773917
105,holualoa,19.6228,-155.9522,21.04000000000002,94,40,4.63,US,1684774367
106,nova sintra,14.8667,-24.7167,20.350000000000023,81,100,8.05,CV,1684773915
107,saynshand,44.8824,110.1163,16.200000000000045,19,77,4.36,MN,1684774367
108,georgetown,5.4112,100.3354,28.970000000000027,79,20,1.03,MY,1684774090
109,molde,62.7375,7.1591,14.910000000000025,58,40,6.17,NO,1684774123
110,bamyan,34.75,67.25,9.53000000000003,74,100,1.6,AF,1684774368
111,castres,43.5833,2.1667,21.5,78,75,2.06,FR,1684774368
112,punta arenas,-53.15,-70.9167,4.060000000000002,65,0,4.63,CL,1684773691
113,new norfolk,-42.7826,147.0587,13.840000000000032,72,98,0.89,AU,1684774368
114,papatowai,-46.5619,169.4708,10.430000000000007,83,100,5.01,NZ,1684773945
115,lospalos,-8.5186,127.0025,20.710000000000036,91,86,2.92,TL,1684774368
116,waitangi,-43.9535,-176.5597,12.910000000000025,79,7,3.07,NZ,1684773902
117,loreto,22.2667,-101.9667,23.879999999999995,39,56,0.4,MX,1684774027
118,ghat,24.9647,10.1728,37.32000000000005,6,35,6.12,LY,1684774368
119,opuwo,-18.0607,13.84,23.410000000000025,21,0,1.74,NA,1684774368
120,isafjordur,66.0755,-23.124,8.020000000000039,39,20,3.09,IS,1684773926
121,vorgashor,67.5833,63.95,6.28000000000003,95,53,0.59,RU,1684773903
122,boysun,38.2061,67.1986,24.629999999999995,26,100,1.12,UZ,1684774368
123,crane,31.3974,-102.3501,25.730000000000018,51,11,6.7,US,1684773914
124,enewetak,11.3474,162.3373,27.680000000000007,81,94,6.05,MH,1684773902
125,kirakira,-10.4544,161.9205,26.53000000000003,82,100,2.97,SB,1684774369
